date,electricity_cost,oil_cost
2021-12-01,0.0,446.19
2022-01-01,328.3,390.6
2022-02-01,352.8,957.3499999999999
2022-03-01,284.2,590.27
2022-04-01,220.99,652.62
2022-05-01,225.4,0.0
2022-06-01,201.39,0.0
2022-07-01,241.08,0.0
2022-08-01,443.45,319.07
2022-09-01,326.83,0.0
2022-10-01,285.67,0.0
2022-11-01,211.68,586.64
2022-12-01,340.55,712.74
2023-01-01,414.5,618.52
2023-02-01,324.04,1196.63
2023-03-01,327.44,559.19
2023-04-01,273.15,0.0
2023-05-01,182.86,390.78
2023-06-01,168.65,0.0
2023-07-01,263.95,0.0
2023-08-01,212.11,0.0
2023-09-01,214.2,0.0
2023-10-01,146.92,390.6
2023-11-01,174.94,479.16
2023-12-01,263.58,579.55
2024-01-01,255.14,440.59
2024-02-01,253.21,929.47
2024-03-01,229.49,0.0
2024-04-01,238.62,0.0
2024-05-01,171.86,0.0
2024-06-01,265.83,0.0
2024-07-01,405.28,0.0
2024-08-01,202.09,0.0
2024-09-01,183.53,0.0
2024-10-01,309.95,0.0
2024-11-01,465.36,0.0
