date,amount,kwh_used
2022-01, 328.3, 670
2022-02, 352.8, 720
2022-03, 284.2, 580
2022-04, 220.99, 451
2022-05, 225.4, 460
2022-06, 201.39, 411
2022-07, 241.08, 492
2022-08, 443.45, 905
2022-09, 326.83, 667
2022-10, 285.67, 583
2022-11, 211.68, 432
2022-12, 340.55, 701
2023-01, 414.50, 856
2023-02, 324.04, 666
2023-03, 327.44, 668
2023-04, 273.15, 551
2023-05, 182.86, 475
2023-06, 168.65, 556
2023-07, 263.95, 874
2023-08, 212.11, 692
2023-09, 214.20, 699
2023-10, 146.92, 468
2023-11, 174.94, 521
2023-12, 263.58, 748
2024-01, 255.14, 727
2024-02, 253.21, 725
2024-03, 229.49, 646
2024-04, 238.62, 663
2024-05, 171.86, 467
2024-06, 265.83, 725
2024-07, 405.28, 1267
2024-08, 202.09, 621
2024-09, 183.53, 562
2024-10, 309.95, 962
2024-11, 465.36, 1438
