date,electricity_cost,oil_cost
2022-01-01,145.50,250.75
2022-02-01,132.25,225.50
2022-03-01,128.75,200.25
2022-04-01,115.50,150.75
2022-05-01,105.25,100.50
2022-06-01,110.50,75.25
2022-07-01,125.75,50.25
2022-08-01,130.50,75.50
2022-09-01,115.25,100.75
2022-10-01,120.75,175.50
2022-11-01,135.50,225.75
2022-12-01,150.25,275.50
2023-01-01,155.75,265.25
2023-02-01,142.50,240.00
2023-03-01,138.75,215.50
2023-04-01,125.50,165.75
2023-05-01,115.25,115.50
2023-06-01,120.50,85.25
2023-07-01,135.75,60.25
2023-08-01,380.50,0.00
2023-09-01,365.25,0.00
2023-10-01,395.75,0.00
2023-11-01,460.50,0.00
2023-12-01,525.25,0.00
